,City,Price range,Average price
1560,Bahadurgarh,"3,333 - 5,909 / sqft","5,346.58 / sqft"
1561,Nalgonda,-,-
1562,Hassan,-,-
1563,Kakinada,"5,555 / sqft","5,555 / sqft"
1564,Shimoga,-,-
1565,Proddatur,-,-
1566,Kodagu,-,-
1567,Muzaffarpur,-,-
1568,Arrah,-,-
1569,Begusarai,-,-
1570,Durg,"1,501 - 3,612 / sqft","2,815.6 / sqft"
1571,Nokha,-,-
1572,Kangra,-,-
1573,Neemuch,-,-
1574,Bolpur,"2,333 / sqft","2,333.33 / sqft"
1575,Dibrugarh,-,-
1576,Cuddalore,"3,366 / sqft","3,366.49 / sqft"
1577,Kullu,-,-
1578,East Godavari,-,-
1579,Tiruppur,"1,894 - 3,793 / sqft","2,843.3 / sqft"
1580,Chamarajanagar,-,-
1581,Koraput,-,-
1582,Tuticorin,-,-
1583,Pudukkottai,-,-
1584,Villupuram,-,-
1585,Dharmapuri,-,-
1586,Perambalur,-,-
1587,Chitradurga,-,-
1588,Tumakuru,"25,000 / sqft","25,000 / sqft"
1589,Greater Noida,"1,111 - 57,008 / sqft","7,808.77 / sqft"
1590,Balasore,"2,941 - 5,328 / sqft","4,256.29 / sqft"
1591,Bhadrak,-,-
1592,Sehore,-,-
1593,Asansol,"2,054 - 6,800 / sqft","4,427.03 / sqft"
1594,Nadia,-,-
1595,Pathanamthitta,-,-
1596,Kheda,-,-
1597,Belagavi,"3,600 - 4,800 / sqft","4,83.33 / sqft"
1598,Bikaner,-,-
1599,Bathinda,-,-
1600,Eluru,"4,975 / sqft","4,975.12 / sqft"
1601,Athens,-,-
1602,Chittoor,-,-
1603,Jajpur,-,-
1604,Vijayapura,"2,667 / sqft","2,666.67 / sqft"
1605,Rajsamand,"2,652 / sqft","2,651.52 / sqft"
1606,Shivamogga,-,-
1607,Kutch,-,-
1608,Kanyakumari,-,-
1609,Prakasham,-,-
1610,Kadapa,-,-
1611,Srikakulam,-,-
1612,Jharsuguda,"3,310 / sqft","3,310.34 / sqft"
1613,Sikar,-,-
1614,Gaya,-,-
1615,Bilaspur,975 / sqft,975 / sqft
1616,Darbhanga,-,-
1617,Darjeeling,-,-
1618,Navsari,-,-
1619,Ratlam,-,-
1620,Junagadh,"3,069 / sqft","3,68.59 / sqft"
1621,Hathras,-,-
1622,Deoghar,-,-
1623,Jhunjhunu,-,-
1624,Sambalpur,-,-
1625,Barnala,-,-
1626,Bankura,-,-
1627,Madhubani,-,-
1628,Theni,"10,732 / sqft","10,731.71 / sqft"
1629,Hazaribagh,-,-
1630,Pali,-,-
1631,Banswara,-,-
1632,Barmer,"3,200 / sqft","3,200 / sqft"
1633,Purulia,-,-
1634,Mewat,-,-
1635,West Godavari,"3,241 / sqft","3,240.74 / sqft"
1636,Thanjavur,"3,586 / sqft","3,586.21 / sqft"
1637,Dera Bassi,"1,795 - 2,899 / sqft","2,811.71 / sqft"
1638,Sri Ganganagar,-,-
1639,Hoshangabad,-,-
1640,Beed,-,-
1641,Haldwani,"2,813 - 5,725 / sqft","4,268.85 / sqft"
1642,Bhiwadi,"1,451 - 3,200 / sqft","2,950.11 / sqft"
1643,Aruppukkottai,-,-
1644,Bagpat,-,-
1645,Balotra,-,-
1646,Berhampur,-,-
1647,Cuttak,-,-
1648,Gadag,-,-
1649,Gadarwara,-,-
1650,Guruvayoor,-,-
1651,Hissar,-,-
1652,Jalpaiguri,-,-
1653,Karwar,-,-
1654,Khambhat,-,-
1655,Kulu Manali,"2,010 / sqft","2,010 / sqft"
1656,Kumhari,-,-
1657,Mahesana,-,-
1658,Mussoorie,-,-
1659,Patan,-,-
1660,Prakasam,-,-
1661,Tiruvannamalai,-,-
1662,Tumkur,-,-
1663,Bagru,-,-
1664,Buldana,-,-
1665,Chhindwara,"1,564 / sqft","1,564 / sqft"
1666,Adilabad,-,-
1667,Amroha,-,-
1668,Unnao,-,-
1669,Bahraich,-,-
1670,Bhatinda,-,-
1671,Bharatpur,-,-
1672,Bhiwani,-,-
1673,Burhanpur,-,-
1674,Saran,-,-
1675,Davanagere,-,-
1676,Dewas,-,-
1677,Fatehpur,-,-
1678,Guna,-,-
1679,Jaunpur,-,-
1680,Karimnagar,-,-
1681,Kasaragod,-,-
1682,Khammam,-,-
1683,Khandwa,-,-
1684,Malappuram,-,-
1685,Morbi,-,-
1686,Katni,-,-
1687,Purnia,-,-
1688,Raichur,-,-
1689,Rewa,"2,938 / sqft","2,937.5 / sqft"
1690,Sagar,-,-
1691,Satna,-,-
1692,Shivpuri,-,-
1693,Suryapet,-,-
1694,Thoothukudi,-,-
1695,Vizianagaram,"5,185 / sqft","5,185.19 / sqft"
1696,Yamunanagar,-,-
1697,Dharuhera,"2,323 - 3,077 / sqft","2,955.47 / sqft"
1698,Jind,-,-
1699,Kaithal,-,-
1700,Mithapur,-,-
1701,Rupnagar,-,-
1702,Sitapur,-,-
1703,Kushinagar,-,-
1704,Bijapur,-,-
1705,Gondia,-,-
1706,Krishnagiri,-,-
1707,Namakkal,"2,133 / sqft","2,133.33 / sqft"
1708,Sivaganga,-,-
1709,Nilgiris,-,-
1710,Thiruvananthapuram,-,-
1711,Jangaon,-,-
1712,Sangareddy,-,-
1713,Sirohi,-,-
1714,Aravalli,-,-
1715,Dungarpur,-,-
1716,Nagaur,-,-
1717,Tonk,-,-
1718,Jalore,-,-
1719,Hanumangarh,-,-
1720,Himatnagar,-,-
1721,Gudivada,-,-
1722,Dhar,-,-
1723,Jagdalpur,-,-
1724,Rajnandgaon,-,-
1725,Chhota Udepur,-,-
1726,Raisen,-,-
1727,Morinda,-,-
1728,Gondal,-,-
1729,Mandsaur,-,-
1730,Betul,-,-
1731,Boranada,-,-
1732,Surendranagar,-,-
1733,Vidisha,-,-
1734,Banaskantha,-,-
1735,Amreli,-,-
1736,Peddapalli,-,-
1737,Chapra,-,-
1738,Yadgir,-,-
1739,Daman,-,-
1740,Karaikudi,-,-
1741,Ramgarh,-,-
1742,Rajgarh,-,-
1743,Chhatarpur,-,-
1744,Purba Medinipur,-,-
1745,Saharsa,-,-
1746,Vaishali,-,-
1747,Chandauli,-,-
1748,Bardhaman,-,-
1749,Darrang,-,-
1750,Gurdaspur,-,-
1751,Alipurduar,-,-
1752,West Medinipur,-,-
1753,Damoh,-,-
1754,Faridkot,-,-
1755,Sangrur,-,-
1756,Kapurthala,-,-
1757,Bagalkot,-,-
1758,Barwani,-,-
1759,Khargone,-,-
1760,Vyara,-,-
1761,Chittaranjan,-,-
1762,Mancherial,-,-
1763,Jagtial,-,-
1764,Jorhat,-,-
1765,Narsinghpur,-,-
1766,Nagarkurnool,-,-
1767,Harda,-,-
1768,Agar,-,-
1769,Seoni,-,-
1770,Dahod,-,-
1771,Shajapur,-,-
1772,Shahdol,-,-
1773,Hoshiarpur,-,-
1774,Wanaparthy,-,-
1775,Jhalawar,-,-
1776,Sawai Madhopur,-,-
1777,Tikamgarh,-,-
1778,Alirajpur,-,-
1779,Balaghat,-,-
1780,Ramanagara,-,-
1781,Panchmahal,-,-
1782,Mandla,-,-
1783,Tenkasi,-,-
1784,Chittorgarh,-,-
1785,Jhabua,-,-
1786,Virudhunagar,-,-
1787,Mandi,"1,083 / sqft","1,83.33 / sqft"
1788,Koppal,-,-
1789,North Tripura,-,-
1790,Uttara Kannada,-,-
1791,Gir Somnath,-,-
1792,Thiruvarur,-,-
1793,Jogulamba Gadwal,-,-
1794,Bhadradri Kothagudem,-,-
1795,Muktsar,-,-
1796,Mansa,-,-
1797,Rajanna Sircilla,-,-
1798,Sabarkantha,-,-
1799,Tirupathur,-,-
1800,Tiruchirapalli,-,-
1801,Nagapattinam,-,-
1802,Umaria,-,-
1803,Lalitpur,-,-
1804,Mayiladuthurai,-,-
1805,Ariyalur,-,-
1806,Kallakurichi,-,-
1807,Ramanathapuram,-,-
