,City,Price range,Average price
1143,Pathanamthitta,"230 - 4,680 / sqft","3,54.31 / sqft"
1144,Kheda,-,-
1145,Belagavi,"122 - 2,790 / sqft","2,470.91 / sqft"
1146,Bikaner,"688 - 2,679 / sqft","1,351.19 / sqft"
1147,Bathinda,"827 - 5,333 / sqft","5,333.33 / sqft"
1148,Eluru,"722 - 11,017 / sqft","7,449.32 / sqft"
1149,Athens,-,-
1150,Chittoor,"1,194 - 2,246 / sqft","1,720.22 / sqft"
1151,Jajpur,-,-
1152,Vijayapura,-,-
1153,Rajsamand,-,-
1154,Shivamogga,"2,100 - 4,933 / sqft","4,525.93 / sqft"
1155,Kutch,329 / sqft,329.08 / sqft
1156,Kanyakumari,"622 - 34,518 / sqft","14,271.65 / sqft"
1157,Prakasham,-,-
1158,Kadapa,641 / sqft,641.46 / sqft
1159,Srikakulam,"667 - 9,000 / sqft","9,000 / sqft"
1160,Jharsuguda,-,-
1161,Sikar,"100 - 27,586 / sqft","8,316.79 / sqft"
1162,Gaya,"350 - 1,815 / sqft","1,791.67 / sqft"
1163,Bilaspur,"146 - 6,176 / sqft","5,680.04 / sqft"
1164,Darbhanga,"115 - 5,417 / sqft","4,914.02 / sqft"
1165,Darjeeling,"192 - 1,571 / sqft","1,571.43 / sqft"
1166,Navsari,"258 - 1,613 / sqft",935.38 / sqft
1167,Ratlam,"2,700 - 5,642 / sqft","4,170.75 / sqft"
1168,Junagadh,-,-
1169,Hathras,-,-
1170,Deoghar,"3,500 / sqft","3,500 / sqft"
1171,Jhunjhunu,-,-
1172,Sambalpur,"103 - 2,801 / sqft","2,351.68 / sqft"
1173,Barnala,-,-
1174,Bankura,-,-
1175,Madhubani,"1,579 / sqft","1,578.95 / sqft"
1176,Theni,"1,285 / sqft","1,285 / sqft"
1177,Hazaribagh,519 / sqft,518.52 / sqft
1178,Pali,"1,600 - 3,000 / sqft","3,000 / sqft"
1179,Banswara,-,-
1180,Barmer,300 / sqft,300 / sqft
1181,Purulia,-,-
1182,Mewat,-,-
